Dd;Dc,FERRARI A.,Sampdoria
Dc,SUTALO,Atalanta
Dc,CUOMO,Crotone
Dc,VAVRO,Lazio
Dc,CAPRADOSSI,Spezia
Dc,TERZI,Spezia
Dc,ISMAJLI,Spezia
C;W,LERIS,Sampdoria
C;W,MASTINU,Spezia
C;T,ESTEVEZ,Spezia
C,GOMELT,Crotone
C,ZANELLATO,Crotone
C,ASKILDSEN,Sampdoria
C,MELEGONI,Genoa
C,CALIGARA,Cagliari
C,POBEGA,Spezia
A,LUVUMBO,Cagliari
W,TRAMONI M.,Cagliari
T;A,MALDINI,Milan
Por,CARNESECCHI,Atalanta
Por,ROSSI F.,Atalanta
Por,GORI P.,Benevento
Por,MANFREDINI,Benevento
Por,BREZA,Bologna
Por,DA COSTA,Bologna
Por,VICARIO,Cagliari
Por,ARESTI,Cagliari
Por,CIOCCI,Cagliari
Por,FESTA,Crotone
Por,BRANCOLINI,Fiorentina
Por,TERRACCIANO,Fiorentina
Por,MARCHETTI,Genoa
Por,RADU I.,Inter
Por,BUFFON,Juventus
Por,PINSOGLIO,Juventus
Por,PROTO,Lazio
Por,REINA,Lazio
Por,DONNARUMMA AN.,Milan
Por,CONTINI,Napoli
Por,COLOMBI,Parma
Por,RAVAGLIA,Sampdoria
Por,PEGOLO,Sassuolo
Por,TURATI,Sassuolo
Por,KRAPIKAS,Spezia
Por,ROSATI,Torino
Por,UJKANI,Torino
Por,NICOLAS,Udinese
Por,BERARDI A.,Verona
Por,PANDUR,Verona
Por,TATARUSANU,Milan
Por,PADELLI,Inter
Por,CRESPI,Crotone
Por,ZIMA,Genoa
Por,BOER,Roma
Por,AVOGADRI,Sampdoria
Por,ALIA,Lazio
Por,PALEARI,Genoa
Por,PROVEDEL,Spezia
Por,LETICA,Sampdoria
Por,SCUFFET,Udinese
Por,DINI,Parma
Por,MILINKOVIC-SAVIC V.,Torino
Por,GASPARINI,Udinese
Pc,PICCOLI,Spezia
Pc,SCAMACCA,Genoa
Pc,ADORANTE,Parma
M;C,DEL PINTO,Benevento
M;C,DANZI,Verona
M;C,BASIT,Benevento
M;C,ROVELLA,Genoa
E;W,MUSTACCHIO,Crotone
E,ANDERSON D.,Lazio
Ds;E,TRIPALDELLI,Cagliari
Ds;E,CALAFIORI,Roma
Ds;E,PAJAC,Cagliari
Ds;E,BASTONI S.,Spezia
Ds;Dc;E,REGINI,Sampdoria
Ds;Dc,CARBONI,Cagliari
Ds;Dc,BUONGIORNO,Torino
Dd;E,PINNA,Cagliari
Dd;E,GAZZOLA,Parma
Dd;Ds;Dc,ARMINI,Lazio
Dd;Dc,KALULU,Milan
Dd;Dc,CALABRESI,Bologna
Dc,VOLTA,Benevento
Dc,SPOLLI,Crotone
Dc,RANOCCHIA,Inter
Dc,PRODL,Udinese
Dc,AMIONE,Verona
Dc,DALLE MURA,Fiorentina
Dc,FERIGRA,Torino
C;W;T,KIYINE,Lazio
C;T,BALDURSSON,Bologna
C;T,DEZI,Parma
C;T,KINGSLEY,Bologna
C,AGOUME,Spezia
C,VILLAR,Roma
C,PALUMBO,Udinese
C,NICOLUSSI CAVIGLIA,Parma
C,PORTANOVA,Juventus
A,TRAORE' AM.,Atalanta
A,MALES,Genoa
A,RICCI F.,Sassuolo
A,SCHIAPPACASSE,Sassuolo
A,MORO,Lazio
T;A,MONTIEL,Fiorentina
